"id","boro_ct2000","median_hh_income"
264,"3043200","28631"
265,"3043300","15900"
266,"3043400","29107"
267,"3043500","22056"
268,"3043600","28036"
1450,"3043700","24488"
798,"3043800","33382"
269,"3043900","28092"
271,"3044000","30675"
272,"3044100","22904"
273,"3044200","26912"
274,"3044300","27965"
275,"3044400","30693"
648,"3044500","30417"
276,"3044600","38698"
649,"3044700","23250"
827,"3044800","41917"
828,"3045000","48214"
277,"3045200","45644"
1041,"3045300","25000"
278,"3045400","45735"
2075,"3045500","17222"
279,"3045600","34076"
1256,"3045800","64032"
280,"3046001","31750"
281,"3046002","55250"
681,"3046201","25689"
1469,"3046202","45313"
2061,"3046400","35741"
837,"3046500","12581"
1034,"3046800","38950"
200,"3047000","42663"
201,"3047200","26953"
838,"3047300","37019"
2062,"3047400","32606"
202,"3047600","27917"
2113,"3047700","37863"
1018,"3047800","37071"
997,"3048000","23475"
2114,"3048100","21625"
998,"3048200","22265"
764,"3048300","43750"
750,"3048400","29861"
1165,"3048600","30329"
1042,"3048700","35481"
1166,"3048800","37115"
1053,"3048900","12786"
1202,"3049000","27267"
1381,"3049100","24459"
1203,"3049200","30926"
1054,"3049300","18479"
789,"3049400","30986"
203,"3049500","28750"
1169,"3049600","38088"
1674,"3049700","35990"
1170,"3049800","35560"
204,"3049900","32014"
1171,"3050000","39556"
951,"3050100","35000"
799,"3050201","64276"
981,"3050202","49184"
205,"3050300","36042"
1812,"3050400","41803"
206,"3050500","22000"
1487,"3050600","26369"
1274,"3050700","18571"
803,"3050800","25435"
1295,"3050900","17083"
1200,"3051000","24271"
773,"3051100","26568"
1514,"3051200","31393"
1554,"3051300","30000"
207,"3051400","32103"
952,"3051500","36107"
208,"3051600","25148"
209,"3051700","48542"
210,"3051800","40833"
1555,"3051900","34704"
211,"3052000","34677"
1515,"3052200","75889"
995,"3052300","22652"
1020,"3052400","50972"
996,"3052500","12069"
212,"3052600","34881"
712,"3052700","22680"
213,"3052800","48750"
713,"3052900","17216"
214,"3053000","30571"
1599,"3053100","22796"
215,"3053200","41750"
216,"3053300","12209"
217,"3053400","23955"
1134,"3053500","16434"
218,"3053600","31429"
795,"3053700","16750"
219,"3053800","28407"
1650,"3053900","16917"
220,"3054000","36607"
221,"3054200","32083"
1771,"3054300","0"
222,"3054400","42733"
1651,"3054500","13454"
1159,"3054600","35469"
1913,"3054700","15379"
1160,"3054800","50227"
2074,"3054900","29722"
223,"3055000","29148"
224,"3055100","27083"
225,"3055200","33870"
1538,"3055300","34679"
664,"3055400","28291"
1043,"3055500","50132"
584,"3055600","37828"
1539,"3055700","40086"
226,"3055800","24750"
701,"3055900","64286"
227,"3056000","40913"
228,"3056200","51300"
229,"3056300","31238"
230,"3056400","46359"
231,"3056500","32418"
232,"3056600","42036"
233,"3056700","37835"
234,"3056800","48125"
235,"3056900","40143"
236,"3057000","38750"
644,"3057100","35282"
237,"3057200","15361"
238,"3057300","35588"
239,"3057400","58519"
984,"3057500","30056"
282,"3057600","45354"
2134,"3057700","60096"
283,"3057800","37262"
985,"3057900","23445"
284,"3058000","29471"
678,"3058200","24738"
1208,"3058400","37992"
285,"3058600","44177"
1002,"3058800","38866"
1257,"3058900","41552"
1003,"3059000","46188"
286,"3059100","33047"
287,"3059200","39375"
2076,"3059300","35208"
288,"3059401","35065"
289,"3059402","47923"
290,"3059600","35000"
1016,"3059800","43017"
291,"3060000","42582"
1004,"3060600","29405"
1253,"3060800","42792"
2050,"3061001","19490"
1252,"3061002","27361"
2051,"3061200","69013"
336,"3061400","65667"
792,"3061600","70119"
652,"3061800","79118"
1267,"3062200","41130"
1017,"3062600","41733"
27,"3062800","59294"
337,"3063200","45645"
338,"3063600","76854"
339,"3063800","53603"
